date_added,former_vacant_sites,parcel_id,site_area_ha,zone_desc,zone_gzt,zone_orig,plan_n_apps_10yr,plan_n_granted_10yr,plan_live_permission,plan_latest_app_no,plan_latest_status,plan_latest_decision,plan_latest_received,own_is_public,own_bodies,own_folios,own_public_pct,val_n_props,val_total_nav,val_uses,bld_coverage,bld_n_buildings
2022-01-01,,DCC000061434,1.921,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),0,0,False,,,,,True,Local Authorities,DN26475F; DN5825N; DN7881N; DN8740F,100.0,0,,,0.0,0
2022-01-01,,DCC000064087,0.126,To provide for and improve neighbourhood facilities.,M3,Z3 - Neighbourhood Centres,0,0,False,,,,,False,,,0.0,1,50000.0,"-, PUB",0.282,1
2022-01-01,,DCC000064088,0.393,To provide for and improve neighbourhood facilities.,M3,Z3 - Neighbourhood Centres,8,2,False,WEB2567/26,Registered Application,,2026-06-24,False,,,0.0,0,,,0.895,4
2022-01-01,VS-0976,DCC000064090,0.089,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,4,2,False,3378/24,Decision Notice Issued,GRANT PERMISSION,2024-03-14,False,,,0.0,1,110000.0,"-, PUB",0.802,3
2022-01-01,,DCC000064091,0.053,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,3,1,False,3213/22,Decision Notice Issued,APPLICATION DECLARED INVA,2022-02-04,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064092,0.131,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,2,1,False,WEB1073/25,Decision Notice Issued,GRANT PERMISSION,2025-01-16,False,,,0.0,0,,,0.005,1
2022-01-01,,DCC000064093,3.197,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,0,0,False,,,,,True,Local Authorities,DN10380L; DN44515L; DN44516L,78.52,3,202950.0,"-, OPTICIAN; -, PHARMACY; -, SUPERMARKET 2 [500-2500 SQ. M.]",0.0,0
2022-01-01,,DCC000064094,1.412,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,0,0,False,,,,,False,,,0.0,0,,,0.0,1
2022-01-01,,DCC000064095,0.67,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,0,0,False,,,,,False,,,0.0,1,5450.0,SHEET 20 METROPOLE,0.0,0
2022-01-01,,DCC000064096,0.143,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,2,0,False,3902/24,Appeal Decided,REFUSE PERMISSION,2024-06-25,False,,,0.0,0,,,0.21,1
2022-01-01,,DCC000064097,0.155,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,6,2,False,WEB2037/25,Decision Notice Issued,GRANT PERMISSION,2025-05-13,False,,,0.0,2,48250.0,"-, MOTOR SHOWROOM; YARD, MOTOR SHOWROOM",0.377,5
2022-01-01,,DCC000064098,0.332,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,0,0,False,,,,,False,,,0.0,0,,,0.001,1
2022-01-01,,DCC000064099,0.299,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,0,0,False,,,,,False,,,0.0,1,5580.0,"-, WORKSHOP",0.657,10
2022-01-01,VS-0003,DCC000064100,0.123,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,3,1,False,WEB2688/24,Decision Notice Issued,GRANT PERMISSION,2024-12-10,False,,,0.0,0,,,0.027,2
2022-01-01,,DCC000064101,0.161,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,4,3,False,WEB2553/24,Appeal Decided,GRANT PERMISSION,2024-11-21,False,,,0.0,0,,,0.817,5
2022-01-01,,DCC000064102,0.073,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,3,3,False,5457/22,Decision Notice Issued,GRANT PERMISSION,2022-12-16,False,,,0.0,1,10650.0,"-, OFFICE (GEORGIAN / VICTORIAN)",0.289,2
2022-01-01,VS-0117,DCC000064103,0.641,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,0,0,False,,,,,True,Local Authorities,DN126611L,98.25,0,,,0.076,6
2022-01-01,,DCC000064104,0.26,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,4,4,False,WEB2144/25,Appeal Decided,GRANT PERMISSION,2025-05-23,False,,,0.0,1,54700.0,"-, BANK",0.476,6
2022-01-01,,DCC000064105,0.214,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,0,0,False,,,,,True,Local Authorities,DN223061F,100.0,1,46400.0,"-, WAREHOUSE",0.79,4
2022-01-01,,DCC000064106,0.07,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,2,1,False,2708/21,Decision Notice Issued,GRANT PERMISSION,2021-04-30,False,,,0.0,2,3770.0,"-, YARD; CAR PARK (OFFICE), -",0.001,1
2022-01-01,,DCC000064107,0.232,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,6,3,False,WEB1481/26,Decision Notice Issued,ADDITIONAL INFORMATION,2026-03-03,False,,,0.0,0,,,0.167,6
2022-01-01,,DCC000064108,0.194,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,7,4,False,WEB2682/26,Registered Application,,2026-07-07,False,,,0.0,0,,,0.002,1
2022-01-01,,DCC000064109,0.1,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,1,0,False,5298/22,Decision Notice Issued,APPLICATION DECLARED INVA,2022-11-28,False,,,0.0,1,1120.0,"-, RIGHT OF TRADING",0.024,2
